"GEO","Sex","YEAR","Avg_age"
"New Brunswick","F",1999,88
"New Brunswick","M",1999,82
"New Brunswick","F",2000,88
"New Brunswick","M",2000,82
"New Brunswick","F",2001,88
"New Brunswick","M",2001,82
"New Brunswick","F",2002,88
"New Brunswick","M",2002,83
"New Brunswick","F",2003,88
"New Brunswick","M",2003,83
"New Brunswick","F",2004,88
"New Brunswick","M",2004,84
"New Brunswick","F",2005,89
"New Brunswick","M",2005,84
"New Brunswick","F",2006,89
"New Brunswick","M",2006,84
"New Brunswick","F",2007,89
"New Brunswick","M",2007,85
"New Brunswick","F",2008,89
"New Brunswick","M",2008,85
"New Brunswick","F",2009,89
"New Brunswick","M",2009,85
"New Brunswick","F",2010,89
"New Brunswick","M",2010,86
"New Brunswick","F",2011,90
"New Brunswick","M",2011,86
"New Brunswick","F",2012,90
"New Brunswick","M",2012,86
"New Brunswick","F",2013,90
"New Brunswick","M",2013,86
"New Brunswick","F",2014,90
"New Brunswick","M",2014,86
"New Brunswick","F",2015,90
"New Brunswick","M",2015,86
"New Brunswick","F",2016,90
"New Brunswick","M",2016,86
"Newfoundland and Labrador","F",1980,85
"Newfoundland and Labrador","M",1980,78
"Newfoundland and Labrador","F",1981,85
"Newfoundland and Labrador","M",1981,78
"Newfoundland and Labrador","F",1982,85
"Newfoundland and Labrador","M",1982,78
"Newfoundland and Labrador","F",1983,85
"Newfoundland and Labrador","M",1983,78
"Newfoundland and Labrador","F",1984,85
"Newfoundland and Labrador","M",1984,78
"Newfoundland and Labrador","F",1985,85
"Newfoundland and Labrador","M",1985,78
"Newfoundland and Labrador","F",1986,85
"Newfoundland and Labrador","M",1986,78
"Newfoundland and Labrador","F",1987,85
"Newfoundland and Labrador","M",1987,79
"Newfoundland and Labrador","F",1988,85
"Newfoundland and Labrador","M",1988,79
"Newfoundland and Labrador","F",1989,85
"Newfoundland and Labrador","M",1989,79
"Newfoundland and Labrador","F",1990,85
"Newfoundland and Labrador","M",1990,79
"Newfoundland and Labrador","F",1991,85
"Newfoundland and Labrador","M",1991,79
"Newfoundland and Labrador","F",1992,85
